OrganizationalLevel,JobTitle,VacationHours,Bonus
2,North American Sales Manager,14,0
3,Sales Representative,38,4100
3,Sales Representative,27,2000
3,Sales Representative,24,2500
3,Sales Representative,33,500
3,Sales Representative,29,6700
3,Sales Representative,22,5000
3,Sales Representative,26,3550
3,Sales Representative,31,5000
3,Sales Representative,23,3500
3,Sales Representative,39,3900
2,Pacific Sales Manager,20,0
3,Sales Representative,36,5650
2,European Sales Manager,21,0
3,Sales Representative,35,75
3,Sales Representative,37,5150
3,Sales Representative,34,985
,,,
